entity_id,canonical_key,canonical_name_cn,canonical_name_en,project_type,developer,brand,project_family,parent_project,khan,sangkat,locality,primary_road,secondary_roads,canonical_geo_display,public_location_display_cn,market_positioning_cn,market_aliases_cn,search_aliases_cn,verification_status,source_1,source_2,source_3,notes
project:the-star-munirah,the-star-munirah,炳发 The Star Munirah,The Star Munirah,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 6A,,,6A路 · 炳发,6A炳发;水净华方向炳发,6A炳发;水净华方向炳发,The Star Munirah;炳发 The Star Munirah;6A炳发;水净华方向炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;店屋;双拼别墅;独栋别墅
project:the-star-platinum-roseville,the-star-platinum-roseville,炳发 Roseville,The Star Platinum Roseville,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Norea附近炳发,一号路炳发;铁桥头炳发;Norea附近炳发,The Star Platinum Roseville;炳发 Roseville;一号路炳发;铁桥头炳发;Norea附近炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;店屋;双拼别墅;独栋别墅
project:the-star-platinum-mastery,the-star-platinum-mastery,炳发 Mastery,The Star Platinum Mastery,Borey/独栋别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Mastery;炳发 Mastery;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：独栋别墅
project:the-star-mera-garden,the-star-mera-garden,炳发 The Star Mera Garden,The Star Mera Garden,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Ring Road 2 (50m road),,,50米路 · 炳发 Mera Garden,50米炳发;Mera Garden;炳发Mera Garden,50米炳发;Mera Garden;炳发Mera Garden,The Star Mera Garden;炳发 The Star Mera Garden;50米炳发;Mera Garden;炳发Mera Garden,VERIFIED,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;店屋;双拼别墅;独栋别墅
project:the-star-platinum-eco-romance,the-star-platinum-eco-romance,炳发 Eco Romance,The Star Platinum Eco Romance,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Eco区炳发,一号路炳发;铁桥头炳发;Eco区炳发,The Star Platinum Eco Romance;炳发 Eco Romance;一号路炳发;铁桥头炳发;Eco区炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;双拼别墅;独栋别墅
project:the-star-platinum-eco-varanda,the-star-platinum-eco-varanda,炳发 Eco Varanda,The Star Platinum Eco Varanda,Borey/独栋别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Eco区炳发,一号路炳发;铁桥头炳发;Eco区炳发,The Star Platinum Eco Varanda;炳发 Eco Varanda;一号路炳发;铁桥头炳发;Eco区炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：独栋别墅
project:the-star-platinum-eco-sunrise,the-star-platinum-eco-sunrise,炳发 Eco Sunrise,The Star Platinum Eco Sunrise,Borey/店屋社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Eco区炳发,一号路炳发;铁桥头炳发;Eco区炳发,The Star Platinum Eco Sunrise;炳发 Eco Sunrise;一号路炳发;铁桥头炳发;Eco区炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：店屋
project:the-star-eternal,the-star-eternal,炳发 The Star Eternal,The Star Eternal,Borey/店屋社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Street 217 (Monireth Blvd),,,217路 · 炳发,217炳发;Monireth炳发,217炳发;Monireth炳发,The Star Eternal;炳发 The Star Eternal;217炳发;Monireth炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：店屋
project:the-star-natural,the-star-natural,炳发 The Star Natural,The Star Natural,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Street 371 (Tomnup Thmey),,,371路 · 炳发,371炳发,371炳发,The Star Natural;炳发 The Star Natural;371炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;双拼别墅;独栋别墅
project:the-star-platinum-mercurean-ii,the-star-platinum-mercurean-ii,炳发 Mercurean II,The Star Platinum Mercurean II,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Mercurean II;炳发 Mercurean II;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;店屋;双拼别墅
project:the-star-jumeirah,the-star-jumeirah,炳发 The Star Jumeirah,The Star Jumeirah,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 6A,,,6A路 · 炳发,6A炳发;水净华方向炳发,6A炳发;水净华方向炳发,The Star Jumeirah;炳发 The Star Jumeirah;6A炳发;水净华方向炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;店屋;双拼别墅;独栋别墅
project:the-star-platinum-rosato,the-star-platinum-rosato,炳发 Rosato,The Star Platinum Rosato,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Norea附近炳发,一号路炳发;铁桥头炳发;Norea附近炳发,The Star Platinum Rosato;炳发 Rosato;一号路炳发;铁桥头炳发;Norea附近炳发,VERIFIED,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;店屋;双拼别墅;独栋别墅
project:the-star-platinum-paradigm,the-star-platinum-paradigm,炳发 Paradigm,The Star Platinum Paradigm,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Paradigm;炳发 Paradigm;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：双拼别墅;独栋别墅
project:the-star-platinum-polaris-i,the-star-platinum-polaris-i,炳发 Polaris I,The Star Platinum Polaris I,Borey/店屋社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Polaris I;炳发 Polaris I;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：店屋
project:the-star-platinum-eco-melody,the-star-platinum-eco-melody,炳发 Eco Melody,The Star Platinum Eco Melody,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Eco区炳发,一号路炳发;铁桥头炳发;Eco区炳发,The Star Platinum Eco Melody;炳发 Eco Melody;一号路炳发;铁桥头炳发;Eco区炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：双拼别墅;独栋别墅
project:the-star-platinum-eco-delta,the-star-platinum-eco-delta,炳发 Eco Delta,The Star Platinum Eco Delta,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Eco区炳发,一号路炳发;铁桥头炳发;Eco区炳发,The Star Platinum Eco Delta;炳发 Eco Delta;一号路炳发;铁桥头炳发;Eco区炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;双拼别墅;独栋别墅
project:orkide-the-royal,orkide-the-royal,Orkide The Royal 别墅社区,Orkide The Royal,Borey/别墅社区,Orkide Development,Orkide,Orkide,,Sen Sok,Ou Baek K'am,,Street 2004 (MaiDa),,Sen Sok · 2004路,2004路 · Orkide,2004路;Northbridge方向,奥凯德2004;Orkide 2004,Orkide The Royal;奥凯德The Royal;2004奥凯德,VERIFIED,https://www.orkidevilla.com/,https://www.orkide.com.kh/our-projects/the-royal,https://www.realestate.com.kh/boreys/orkide-villa-the-royal/,官方确认 Twin Villa、Link Villa、ShopHouse；Queen Villa等为产品类型，不单独建PROJECT。
project:orkide-the-grand,orkide-the-grand,Orkide The Grand,Orkide The Grand,Borey/别墅社区,Orkide Development,Orkide,Orkide,,Sen Sok,,,Street 2004 (MaiDa),,Sen Sok · 2004路,2004路 · Orkide The Grand,2004路;Northbridge附近,奥凯德The Grand;Orkide Grand,Orkide The Grand;奥凯德The Grand;2004奥凯德Grand,PARTIAL,https://www.orkidevilla.com/,https://khpropertyhub.com/en/developers/orkide-villa,,
project:orkide-botanic-city,orkide-botanic-city,Orkide Botanic City,Orkide The Botanic City,Borey/大型住宅社区,Orkide Development,Orkide,Orkide,,Chroy Changvar,Prek Tasek,,National Road 6A,,水净华 · 6A路,6A路 · Orkide Botanic City,6A路;水净华,奥凯德Botanic City;奥凯德6A,Orkide Botanic City;奥凯德6A;6A奥凯德,PARTIAL,https://www.orkidevilla.com/,https://khpropertyhub.com/en/developers/orkide-villa,,
project:orkide-pochentong,orkide-pochentong,Orkide Pochentong,Orkide The Pochentong,Borey/住宅社区,Orkide Development,Orkide,Orkide,,Sen Sok,Phnom Penh Thmey,,Street 105K,,森速 · 105K路,森速 · Orkide Pochentong,森速;旧机场方向,奥凯德Pochentong,Orkide Pochentong;奥凯德Pochentong,PARTIAL,https://www.orkidevilla.com/,,,
project:chip-mong-park-land-598,chip-mong-park-land-598,Chip Mong Park Land 598,Park Land 598,Borey/别墅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,Street 598,,,598路 · Chip Mong,598路;森速,598路;森速,Chip Mong Park Land 598;Park Land 598;598路;森速,PARTIAL,https://chipmongland.com/foundproperty/park-land-598/shop-house,,,
project:chip-mong-park-land-50m,chip-mong-park-land-50m,Chip Mong Park Land 50M,Park Land 50M,Borey/别墅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,50M Road,,,50米路 · Chip Mong,50米Chip Mong;Chamkar Dong,50米Chip Mong;Chamkar Dong,Chip Mong Park Land 50M;Park Land 50M;50米Chip Mong;Chamkar Dong,PARTIAL,https://www.api.cmld-qas.com/articles/news/Park-Land-50M/en,,,
project:chip-mong-park-land-sen-sok,chip-mong-park-land-sen-sok,Chip Mong Park Land Sen Sok,Park Land Sen Sok,Borey/别墅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,,,,森速 · Chip Mong,森速Chip Mong;永旺2方向,森速Chip Mong;永旺2方向,Chip Mong Park Land Sen Sok;Park Land Sen Sok;森速Chip Mong;永旺2方向,PARTIAL,https://khpropertyhub.com/en/developers/chip-mong-land,,,
project:chip-mong-park-land-tk,chip-mong-park-land-tk,Chip Mong Park Land TK,Park Land TK,Borey/住宅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,Oknha Mong Rithy Street,,,堆谷/森速 · Mong Rithy路,TK Chip Mong,TK Chip Mong,Chip Mong Park Land TK;Park Land TK;TK Chip Mong,PARTIAL,https://khpropertyhub.com/en/developers/chip-mong-land,,,
project:chip-mong-park-land-6a,chip-mong-park-land-6a,Chip Mong Park Land 6A,Park Land 6A,Borey/别墅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,National Road 6A,,,6A路 · Chip Mong,6A Chip Mong;水净华方向,6A Chip Mong;水净华方向,Chip Mong Park Land 6A;Park Land 6A;6A Chip Mong;水净华方向,PARTIAL,https://khpropertyhub.com/en/developers/chip-mong-land,,,
project:chip-mong-landmark-271,chip-mong-landmark-271,Chip Mong Landmark 271,Landmark 271,Borey/综合住宅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,Street 271,,,271路 · Chip Mong,271 Chip Mong;Chip Mong 271附近,271 Chip Mong;Chip Mong 271附近,Chip Mong Landmark 271;Landmark 271;271 Chip Mong;Chip Mong 271附近,PARTIAL,https://www.api.cmld-qas.com/articles/news/Park-Land-50M/en,,,
project:chip-mong-landmark-60m,chip-mong-landmark-60m,Chip Mong Landmark 60M,Landmark 60M,Borey/别墅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,Hun Sen Blvd / 60M,,,60米大道 · Chip Mong,60米Chip Mong;永旺3方向,60米Chip Mong;永旺3方向,Chip Mong Landmark 60M;Landmark 60M;60米Chip Mong;永旺3方向,PARTIAL,https://www.api.cmld-qas.com/articles/news/Park-Land-50M/en,,,
project:chip-mong-grand-phnom-penh-city,chip-mong-grand-phnom-penh-city,Chip Mong Grand Phnom Penh City,Grand Phnom Penh City,Borey/大型住宅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,,,,森速 · Grand Phnom Penh,Grand Phnom Penh;森速Chip Mong,Grand Phnom Penh;森速Chip Mong,Chip Mong Grand Phnom Penh City;Grand Phnom Penh City;Grand Phnom Penh;森速Chip Mong,PARTIAL,https://khpropertyhub.com/en/developers/chip-mong-land,,,
project:chip-mong-landriche-chamkar-dong,chip-mong-landriche-chamkar-dong,Chip Mong Land Riche Chamkar Dong,Land Riche Chamkar Dong,Borey/住宅社区,Chip Mong Land,Chip Mong,Chip Mong,,,,,Chamkar Dong Street,,,Chamkar Dong · Chip Mong,Chamkar Dong Chip Mong,Chamkar Dong Chip Mong,Chip Mong Land Riche Chamkar Dong;Land Riche Chamkar Dong;Chamkar Dong Chip Mong,PARTIAL,https://www.api.cmld-qas.com/articles/news/Park-Land-50M/en,,,
project:chip-mong-park-land-tk-condo,chip-mong-park-land-tk-condo,Chip Mong Park Land TK 公寓,Park Land TK Condo,公寓,Chip Mong Land,Chip Mong,Chip Mong,,,,,Oknha Mong Rithy Street,,,森速 · Mong Rithy路,TK Condo;森速Chip Mong公寓,TK Condo;森速Chip Mong公寓,Chip Mong Park Land TK 公寓;Park Land TK Condo;TK Condo;森速Chip Mong公寓,PARTIAL,https://www.realestate.com.kh/new-developments/chip-mong-park-land-tk-condo/,,,
project:new-world-kour-srov-1-2,new-world-kour-srov-1-2,新世界 Kour Srov 1&2,Borey New World Kour Srov 1&2,Borey/住宅社区,Borey New World,New World,New World,,Dangkao,Prek Kampeus,Kraing Svay,,,Prek Kampeus · Kour Srov,Kour Srov · 新世界,Kour Srov;Prek Kampeus,新世界Kour Srov;New World Kour Srov 1&2,新世界Kour Srov;New World Kour Srov 1&2,PARTIAL,https://www.sacombank.com.kh/en/sacombank-increases-housing-loan/,,,1&2在银行合作项目表中作为同一条目，暂不强拆。
project:new-world-kour-srov-3,new-world-kour-srov-3,新世界 Kour Srov 3,Borey New World Kour Srov 3,Borey/住宅社区,Borey New World,New World,New World,,Dangkao,Roluos,Roluos,,,Roluos · Kour Srov,Kour Srov · 新世界3,Kour Srov;Roluos,新世界3;New World Kour Srov 3,新世界3;New World Kour Srov 3;Kour Srov新世界,PARTIAL,https://www.sacombank.com.kh/en/sacombank-increases-housing-loan/,https://www.waze.com/live-map/directions/kh/phnom-penh/pp/borey-new-world-kour-srov-3?to=place.ChIJX23ie0dbCTERRH9y7-R-E_o,,
project:piphup-thmey-sen-sok,piphup-thmey-sen-sok,新世界生活/皮普特梅 Sen Sok社区,Borey Piphup Thmey Sen Sok,Borey/住宅社区,Borey Piphup Thmey,Piphup Thmey,Piphup Thmey,,Sen Sok,Phnom Penh Thmey,,,,森速 · 永旺2方向,森速;永旺2附近;Makro附近,森速Piphup Thmey;永旺2 Piphup Thmey,Piphup Thmey Sen Sok;森速Piphup Thmey;永旺2 Piphup Thmey,PARTIAL,https://camrealtyservice.com/boreys/pi-phup-thmey-sen-sok-aeon-mall-2/,https://www.knightfrank.com.kh/residential-real-estate-cambodia/phnom-penh-real-estate/borey-in-phnom-penh,,,
project:piphup-thmey-chamkar-dong,piphup-thmey-chamkar-dong,Piphup Thmey Chamkar Dong,Borey Piphup Thmey Chamkar Dong,Borey/住宅社区,Borey Piphup Thmey,Piphup Thmey,Piphup Thmey,,Dangkao,,,Chamkar Dong Street,,Chamkar Dong,Chamkar Dong · Piphup Thmey,Chamkar Dong,Chamkar Dong Piphup Thmey;Piphup Thmey Chamkar Dong,Piphup Thmey Chamkar Dong;Chamkar Dong Piphup Thmey,PARTIAL,https://www.knightfrank.com.kh/residential-real-estate-cambodia/phnom-penh-real-estate/borey-in-phnom-penh,https://www.ccc.org.kh/en/member-directory?business=18&entity=all&keyword=all&location=all&page=40&type=all,,
project:piphup-thmey-nr4,piphup-thmey-nr4,Piphup Thmey 4号路社区,Borey Piphup Thmey National Road 4,Borey/住宅社区,Borey Piphup Thmey,Piphup Thmey,Piphup Thmey,,Por Sen Chey / Kambol,,,National Road 4,,4号路 · Piphup Thmey,4号路Piphup Thmey,4号路,4号路Piphup Thmey;Piphup Thmey NR4,Piphup Thmey NR4;4号路Piphup Thmey,NEEDS_VERIFICATION,https://www.knightfrank.com.kh/residential-real-estate-cambodia/phnom-penh-real-estate/borey-in-phnom-penh,,,公开资料确认品牌在National Road 4有项目，但具体子项目命名仍需继续核。
project:chankiri-palm-creek,chankiri-palm-creek,Chankiri Palm Creek,Chankiri Palm Creek,Borey/别墅社区,Urbanland,Chankiri,Chankiri,,Dangkao,Prek Kampeus,,National Road 2,Hun Sen Blvd nearby,Prek Kampeus · 2号路,2号路 · 永旺3方向,2号路;永旺3方向;新机场方向,Chankiri;Palm Creek;永旺3 Chankiri,Chankiri Palm Creek;永旺3 Chankiri;2号路Chankiri,VERIFIED,https://urbanlandasia.com/assets/documents/Chankiri-Palm-Creek-E-Brochure-EN.pdf,https://www.realestate.com.kh/boreys/chankiri-palm-creek/,https://khpropertyhub.com/en/project/phnom-penh/borey-chankiri-PB-000972,
project:the-palms,the-palms,The Palms 棕榈社区,The Palms,Borey/别墅社区,Oxley Worldbridge,The Palms,Oxley Worldbridge,,Chbar Ampov,Veal Sbov / Nirouth,,National Road 1,,铁桥头 · 一号路 · 湄公河边,一号路;湄公河边;Norea桥附近,一号路The Palms;Norea附近The Palms;铁桥头The Palms,The Palms;棕榈社区;一号路The Palms;Norea附近The Palms,VERIFIED,https://www.oxley.com.sg/portfolio/the-palms/,https://camrealtyservice.com/boreys/the-palms/,https://www.realestate.com.kh/zh-hans/boreys/the-palms/,,
