project_entity_id,canonical_name_cn,canonical_name_en,electricity_rate_min,electricity_rate_max,electricity_unit,electricity_scope,electricity_confidence,water_rate_min,water_rate_max,water_unit,water_scope,water_confidence,management_fee_min,management_fee_max,management_fee_unit,management_fee_scope,internet_included_common,car_parking_fee_min,car_parking_fee_max,motorbike_parking_fee_min,motorbike_parking_fee_max,deposit_months_typical,minimum_lease_months,pool,gym,sauna,steam_room,jacuzzi,kids_playground,garden,rooftop,coworking,security_24h,reception,concierge,access_card,cctv,generator,backup_power,water_backup,pet_policy,short_term_allowed,airbnb_allowed,building_year,total_floors,tower_count,unit_count,studio_available,1br_available,2br_available,3br_available,4br_plus_available,balcony_common,river_view_available,city_view_available,furnished_typical,washing_machine_typical,bathtub_available,nearby_landmarks,notes,living_summary,verification_status,project_type,project_amenities,common_unit_features,unit_specific_feature_notes
project:skytree,天空树,SKYTREE,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:the-bridge,桥牌 / 世桥,The Bridge,,,,,,,,,,,1.6,1.6,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,,,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,45.0,,734.0,UNKNOWN,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,COMMON,UNKNOWN,UNKNOWN,,,45层公寓；泳池、健身房、儿童活动区、门禁和24小时安保明确；管理费公开资料约1.60美元/㎡，租客水电价仍需按具体房源核验.,PARTIAL,,,,
project:the-gateway,The Gateway,The Gateway,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:the-peak,The Peak 香格里拉,The Peak,,,,,,,,,,,,,,,UNKNOWN,,,,,,,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,55.0,2.0,1013.0,YES,YES,YES,YES,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,,,55层双塔住宅；泳池、空中健身房和按摩池明确；当前研究未形成可靠统一租客水电/停车费。,PARTIAL,,,,
project:the-pinnacle,太子幸福广场,The Pinnacle Residence,0.25,0.3,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.7,0.7,USD/m3,COMMON_MARKET_PRACTICE,HIGH,,,,,UNKNOWN,40.0,40.0,7.0,7.5,1.0,6.0,YES,YES,YES,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,47.0,,1780.0,YES,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,COMMON,UNKNOWN,UNKNOWN,,,高层公寓；泳池、健身房、花园、蒸汽/桑拿较明确；不同出租来源电费0.25–0.30美元/kWh，水费约0.70美元/m³。,MARKET_RANGE,,,,
project:the-view,The View,The View Serviced Residence,0.35,0.35,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,0.65,0.65,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,,,,,COMMON,80.0,80.0,10.0,10.0,,,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2019,33.0,,317.0,YES,YES,YES,YES,YES,YES,UNKNOWN,UNKNOWN,COMMON,UNKNOWN,YES,,,BKK1服务式住宅；泳池、健身房、蒸汽/桑拿、前台门禁和周清洁较明确；当前运营资料电费0.35、水0.65、车80/摩托10美元/月。,PARTIAL,,,,
project:times-square-1,时代广场1,Time Square 1,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:times-square-11,时代广场11,Time Square 11,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:times-square-2,时代广场2,Time Square 2,,,,,,,,,,,0.8,0.8,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,,,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2021,30.0,,216.0,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,30层公寓；泳池、健身房、花园和儿童区明确；管理费公开资料约0.80美元/㎡。,PARTIAL,,,,
project:times-square-3,时代广场3,Time Square 3,0.25,0.25,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,0.6,0.6,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,,,,,UNKNOWN,40.0,40.0,10.0,10.0,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ALLOWED,UNKNOWN,UNKNOWN,2023,34.0,,280.0,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,34层公寓；泳池、健身房、前台和门禁明确；市场租赁资料电费约0.25美元/kWh、水费0.60美元/m³、车40/摩托10美元/月；宠物资料显示不允许。,MARKET_RANGE,,,,
project:times-square-5,时代广场5,Time Square 5,0.25,0.25,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,0.6,0.6,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,,,,,COMMON,60.0,60.0,10.0,10.0,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,45.0,,350.0,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,45层服务式公寓/公寓；泳池、健身房、空中花园和儿童区明确；市场资料电费0.25、水0.60，车位60、摩托10美元/月。,MARKET_RANGE,,,,
project:times-square-7,时代广场7,Time Square 7,,,,,,,,,,,0.8,0.8,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,30.0,40.0,7.0,10.0,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2027/2028 planned,49.0,,700.0,YES,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,在建Time Square系列项目；700套，规划泳池、健身房、儿童区和多层休闲设施；管理费0.80美元/㎡，车位30–40、摩托7–10美元/月为公开项目资料。,VERIFIED,,,,
project:times-square-8,时代广场8,Time Square 8,,,,,,,,,,,0.8,0.8,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,,,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,YES,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2027 planned,50.0,,700.0,UNKNOWN,YES,YES,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,,,在建50层Time Square项目；规划700套，含普通层与复式层；泳池、健身房、空中休闲/会议空间明确；管理费约0.80美元/㎡。,PARTIAL,,,,
project:times-square-9,时代广场9,Time Square 9,0.3,0.3,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,0.25,0.25,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,1.8,1.8,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,50.0,50.0,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2029/2030 planned,39.0,,600.0,UNKNOWN,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,规划39层/600套Time Square项目；项目资料显示泳池、健身房、儿童区、备用电源；当前销售资料列电费0.30、水0.25、管理费1.80美元/㎡，项目尚未交付。,PARTIAL,,,,
project:tk-royal-one,TK Royal One,TK Royal One,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:urban-village-1,首都·国金一期,Urban Village Phase 1,0.3,0.3,USD/kWh,OWNER_SPECIFIC,MEDIUM,0.5,0.5,USD/m3,OWNER_SPECIFIC,MEDIUM,,,,OWNER_SPECIFIC,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,COMMON,UNKNOWN,,,住宅公寓；公开出租样本显示管理费常随租金包含，电费约0.30美元/kWh、水费约0.50美元/m³；仍按具体租约确认。,PARTIAL,,,,
project:urban-village-2,首都·国金二期,Urban Village Phase 2,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:vila-town,Vila Town,Vila Town,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:vue-aston,Vue Aston,Vue Aston,0.27,0.27,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.75,0.75,USD/m3,COMMON_MARKET_PRACTICE,HIGH,1.38,1.38,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,,,,,,,YES,YES,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ALLOWED,UNKNOWN,UNKNOWN,2025,38.0,,895.0,YES,YES,YES,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,,,38层河岸公寓；泳池、健身房、花园、蒸汽/桑拿、门禁和24小时安保明确；市场资料电费0.27、水0.75美元，项目管理费公开资料1.38美元/㎡。,MARKET_RANGE,,,,
project:wealth-mansion,财富大厦,Wealth Mansion,0.25,0.25,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.75,0.75,USD/m3,COMMON_MARKET_PRACTICE,HIGH,1.5,1.5,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,35.0,35.0,8.0,8.0,2.0,12.0,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,YES,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,SMALL_DOGS_AND_CATS_REPORTED,UNKNOWN,UNKNOWN,2024/2025,45.0,,1184.0,YES,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,COMMON,UNKNOWN,UNKNOWN,,,45层住宅/服务式公寓综合体；泳池、健身房、儿童区、门禁安保明确；市场资料电费0.25美元/kWh、水费0.75美元/m³、管理费约1.50美元/㎡。,MARKET_RANGE,,,,
project:wells-mansion,威尔斯公馆,Wells Mansion?,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:xinghe-garden,金边星河花园,Phnom Penh Galaxy Garden,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:the-star-platinum,炳发 The Star Platinum,The Star Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey综合社区,,,
project:the-star-platinum-athina,炳发 Athina,The Star Platinum Athina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-light,炳发 The Star Light,The Star Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:the-star-premier,炳发 The Star Premier,The Star Premier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:peng-huoth-chamkardong,炳发 Chamkar Dong,Borey Peng Huoth Chamkardong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:peng-huoth-veng-sreng,炳发 Veng Sreng,Borey Peng Huoth Veng Sreng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:the-star-quateria,炳发 The Star Quateria,The Star Quateria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:the-star-platinum-herminus,炳发 Herminus,The Star Platinum Herminus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-emerald-ii,炳发 The Star Emerald II,The Star Emerald II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:the-star-platinum-mercurean-i,炳发 Mercurean I,The Star Platinum Mercurean I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-platinum-capital-one,炳发 Capital One,The Star Platinum Capital One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/店屋社区,,,
project:the-star-polaris-23-condominium,炳发 Polaris 23 公寓,The Star Polaris 23 Condominium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,公寓,,,
project:the-star-platinum-polaris-ii,炳发 Polaris II,The Star Platinum Polaris II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/店屋社区,,,
project:the-star-platinum-euro-ville,炳发 Euro Ville,The Star Platinum Euro Ville,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一号路炳发独立社区；官方确认花园、儿童区、会所、泳池；租住费用按具体房源/物业合同核验。,PARTIAL,Borey/别墅社区,花园;儿童区;会所;泳池,,
project:the-star-diamond,炳发 The Star Diamond,The Star Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-diamond-ii,炳发 The Star Diamond II,The Star Diamond II,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60米大道炳发独立分期；官方确认公共配套及店屋/独栋产品；当前租住收费暂无统一项目级证据。,PARTIAL,Borey/别墅社区,花园;儿童区;会所;泳池,,
project:the-star-munirah,炳发 The Star Munirah,The Star Munirah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-platinum-roseville,炳发 Roseville,The Star Platinum Roseville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-platinum-mastery,炳发 Mastery,The Star Platinum Mastery,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一号路炳发社区；官方已确认部分社区公共配套，租住收费暂无统一项目级证据。,PARTIAL,Borey/独栋别墅社区,花园;儿童区（部分项目官网明确）,,
project:the-star-mera-garden,炳发 The Star Mera Garden,The Star Mera Garden,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50米路炳发社区；官方确认花园、儿童区、会所、泳池和PH Mera Mall；费用按具体房源/管理规则核验。,PARTIAL,Borey/别墅社区,花园;儿童区;会所;泳池;PH Mera Mall,,
project:the-star-platinum-eco-romance,炳发 Eco Romance,The Star Platinum Eco Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-platinum-eco-varanda,炳发 Eco Varanda,The Star Platinum Eco Varanda,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一号路炳发社区；官方已确认部分社区公共配套，租住收费暂无统一项目级证据。,PARTIAL,Borey/独栋别墅社区,花园;儿童区（部分项目官网明确）,,
project:the-star-platinum-eco-sunrise,炳发 Eco Sunrise,The Star Platinum Eco Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/店屋社区,,,
project:the-star-eternal,炳发 The Star Eternal,The Star Eternal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/店屋社区,,,
project:the-star-natural,炳发 The Star Natural,The Star Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-platinum-mercurean-ii,炳发 Mercurean II,The Star Platinum Mercurean II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-jumeirah,炳发 The Star Jumeirah,The Star Jumeirah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-platinum-rosato,炳发 Rosato,The Star Platinum Rosato,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一号路炳发独立社区；官方确认花园、儿童区、会所、泳池；租住费用按具体房源/物业合同核验。,PARTIAL,Borey/别墅社区,花园;儿童区;会所;泳池,,
